S1E1
ewig							éternel
gleichförmig					uniforme, homogène
voran							en avant
schreiten						s'avancer
die Unendlichkeit				l'infinité
die Unterscheidung				la distinction
die Vergangenheit,-en			le passé
die Gegenwart					le présent
die Zukunft						le futur
der Kreis,-e 					le cercle
verbunden						lié
unheilvoll						sinistre
der Klang,-¨e 					le son
der Krach						le bruit
röcheln							râler
keuchen							haleter
die Erleichterung,-en 			le soulagement
geheim							secret
geheimnisvoll					mystérieux
das Geheimnis,-se 				le secret
der Strom,-¨e 					le courant
seufzen							soupirer
die Versammlung,-en				la réunion
die Tür,-en 					la porte
vermissen*						manquer
rauschen						mugir
dumpf							sourd, grave
laut 							fort, bruyant
reden (über+A)					parler (de)
der Bericht,-e 					le rapport
mitmachen						participer
die Sitzung,-en 				la réunion
der Traum,-¨e 					le rêve
hinterlassen					laisser derrière
erhängen*						pendre
verstummen*						se taire
die Errichtung					la construction
bereits							déjà
schmieden						forger
allerdings						toutefois, cependant
der Bau,-ten  					la construction
das Gesetz,-e 					la loi
bewilligen						approuver
die Regierung,-en 				le gouvernement
im Zuge (+G)					dans le cadre de
schrittweise					progessif
der Ausstieg,-e 				la descente, la sortie
nun								maintenant
der Meiler,- 					le réacteur
das Netz,-e 					le réseau
der Zauberer,- 					le magicien
ausserdem						en plus
nerven							casser les pieds
trampeln						piétiner
die Schlange,-n 				la queue
verhungern*						mourir de faim
klauen							piquer
vertragen*						supporter, s'entendre
kriegen							recevoir
das Irrenhaus					la maison de fous
erzählen						raconter
entspannen*						détendre
befragen						interroger
der Nachbar,-n 					le voisin
der Wald,-¨er 					la forêt
der Bewohner,-  				l'habitant
zwar							certes
ausschliessen					exclure
die Straftat					le délit
der Keller,- 					la cave
der Hof,-¨en					la cour 
verschwinder					disparaître
das Bedarf						le besoin
jederzeit						à tout moment
verdächtigen					soupçonner
der Fuchs						le renard
der Hase,-n 					le lièvre
sicherlich						sûrement
überhaupt						vraiment, absolument
das Loch,-¨er					le trou
entstehen						se constituer, se former
auf/halten						retenir
deutlich						distinct, net
dunkel							sombre
die Gestalt,-en					la créature
riesig							gigantesque
dort							là-bas
damals							à l'époque
verkaufen						vendre
das Eichhörnchen				l'écureuil
das Bein,-e 					la jambe
unmöglich						impossible
nachher							après
die Fortbildung					la formation continue
der Bewerber					le candidat
wirklich						véritable
die Botschaft,-en 				le message
das Jenseits					l'au-delà
sofort							tout de suite
entführen						enlever, kidnapper
einsperren						enfermer
zusammenhalten					être solidaire
der Sessel,- 					le fauteil
der Beutel						le sac
unheimlich						macabre
donnern							tonner
die Weisheit,-en 				la sagesse
die Leiche,-n 					le cadavre


S1E2
das Opfer,- 					la victime
die Verbrennung,-en  			la combustion
eigenartig						particulier
schmelzen						fondre
das Anzeichen					le signe
der Missbrauch					l'abus
seltsam							bizarre
zerstören						détruire
lädieren						abîmer
der Druck,-¨e 					la pression
oben							en haut
bescheuert						débile
erneut							de nouveau
die Angabe,-n 					la déclaration
die Höhle,-n 					la grotte
hin/weisen (auf+A)   			attirer l'attention (sur)
der Hinweis,-e 					l'indication
der Verein,-e 					l'association
die Absprache					l'accord
die Behörde,-n 					l'autorité
die Schnur						la ficelle, le fil
weder ... noch ...				ni ... ni ...
entstellen*						défigurer
überall							partout
nirgends						nulle part
der Zaun,-¨e 					la clôture
beschädigen						abîmer, endommager
zusammenhängen					être en rapport
beantragen						demander
erpressen*						faire chanter
wieso							pour quelle raison
schnüffeln						flairer
gucken							regarder
die Spannung,-en 				le suspence
der Richter						le juge
zumindest						au moins
der Raum						l'espace
auf/machen						ouvrir
der Übergang					le passage
der Zugang						l'accès
sparen							épargner
bedrohen						menacer
die Vorstellung,-en 			la représentation, l'idée
eigentlich						véritable, en fait
























