https://www.dw.com/de/kanadische-trucker-blockieren-br%C3%BCcke-zu-den-usa/a-60709470

Kanada					Canada
kanadisch				canadien
der Trucker(in),-		le camionneur
die Brücke,-n			le pont
die Massnahme,-n		la mesure
die Regierung,-en		le gouvernement
der Protest,-e			la protestation
sich ausweiten			s'élargir, dégénérer
abriegeln				boucler
zahlreich				nombreux
annehmen				accepter, adopter
die Form,-en			la forme
wegen (+G)				à cause de
die Grenze,-n			la frontière
kaum					à peine
passierbar				praticable
verbinden				raccorder
die Provinz,-en			la province
der Staat,-en			l'état
zunächst				au début, tou d'abord
das Fahrzeug,-e			le véhicule
die Richtung,-en		la direction
zumindest				au moins
die Fahrbahn			la chaussée
freigeben				libérer
gelten					être valable, passer pour
das Land,-¨er			le pays
überqueren				traverser
etwa 					à peu près
der Lastwagen			le camion
der Lkw					le poids lourd
der Export,-e			l'exportation
das Ende,-n				la fin
sogenannt				soi-disant
die Freiheit,-en 		la liberté
ursprünglich			initial
die Vorschrift			la consigne
inzwischen				entretemps
allgemein				général
entwickeln				développer
der Pranger,-			le pilori
scharf					coupant
aufhören				s'arrêter
der Tonfall				le ton
mild 					doux
die Beschränkung,-en	la limitation
die Verpflichtung,-en 	l'engagement
satt					rassasié
das Opfer,-				la victime, le sacrifice
zugleich				en même temps
erneuern				renouveler
vermeiden				éviter
deutlich				distint, clair
die Störung,-en 		le dérangement
die Umsetzung,-en		l'application
der Impstoff			le vaccin
die Wirtschaft,-en 		l'économie
der Ruf,-e 				l'appel
sofortig				immédiat
anhaltend				persistant
sich beschäftigen		s'occuper
unterdessen				pendant ce temps-là
mehrere					plusieurs
die Lockerung,-en   	l'assouplissement
die Aussicht			la vue
ankündigen				annoncer
die Aufhebung,-en 		la levée
zeitnah					rapide
bezeichnen				désigner, indiquer
überholt				dépassé
der Einwohner,- 		l'habitant
bereits					déjà
doppelt					double
erhalten				recevoir
nun						maintenant
betrachten				considérer
fortsetzen				poursuivre
drohen					menacer


https://learngerman.dw.com/de/10022022--langsam-gesprochene-nachrichten/a-60724932

bestimmen				fixer, déterminer
der Gipfel,-			le sommet
empfangen				recevoir, accueillir
die Spitze,-n 			la pointe, la tête
beraten					délibérer, concerter
das Treffen,- 			la rencontre
die Sorge,-n 			le souci
östlich					de l'est
erörtern				discuter, débattre
bedrohen				menacer
fühlen					sentir, ressentir
fordern					revendiquer
hart					dur, ferme
der Friede,-n           la paix
Nahost					le Proche-Orient
der Amtsantritt			l'entrée en fonction
der Besuch,-e 			la visite
mitteilen				communiquer
die Zukunft				l'avenir
ausserdem				en plus
die Gedenkstätte		le mémorial
kommend					prochain
sowie					ainsi que
weltweit				mondial
der Rückzug				la retraite
der Anteil				la part, la fraction
knapp					maigre
die Bevölkerung,-en 	la population
das Unternehmen,- 		l'entreprise
ermitteln				identifier
der Prozentsatz			le pourcentage
vergangen				le passé
der Rückgang			le recul
weit					large, long, loin
rühmlich				glorieux
die Haft				la détention
ehemalig				ancien
das Gefängnis,-se 		la prison
verurteilen				condamner
der Anwalt,-¨e 			l'avocat
die Verschwörung,-en 	la conspiration
untergraben				miner
das Urteil,-e 			le jugement
berüchtigt				tristement célèbre
im Vorfeld				au préalable
festnehmen				arrêter
bestätigen				confirmer





